CSF,Cortical GM,WM,Ventricles,Cerebellum,Brainstem,Caudate Right,Caudate Left,Lentiform Right,Lentiform Left,Thalamus Left,Thalamus Right,TTV,TBV,ICV
71036.63,138344.25,153589.75,2908.75,22635.63,6188.75,1806.75,1771.25,2862.63,2793.38,4445.75,4427.25,349068.38,351977.13,423013.75
74735,129003.63,129684.13,3322.63,21613.63,5923.88,1427,1576,2724.75,2818,4020.25,4102.13,312578.25,315900.88,390635.88
56130.5,117481.75,130059.63,4480.75,20034.5,5701.88,1748.5,1786.13,2793.88,2996,4002.38,3996.38,299447,303927.75,360058.25
92135.75,148734.13,158688.63,4335.63,21684.25,6481.5,1783.88,1889.25,3060.25,3151.63,4453,4443.88,364957.25,369292.88,461428.63
67669.75,139650.25,152843.88,5414.63,26885.88,6569.88,1770.63,1854.75,3317.5,3373.13,4233.88,4127.88,354790.38,360205,427874.75
81277.38,153680.88,146657.75,3875.75,22650.88,6594.63,1716.5,1655.88,2950.5,2979.75,4301.75,4417.75,357634.13,361509.88,442787.25
78151.13,128980.5,137895.13,4056.63,21504.63,5962.38,1646.63,1724.38,3078.75,3249.5,4326,4230.38,322149.5,326206.13,404357.25
85106.5,129989,138717.5,4517.13,22849.25,6270.5,1617.63,1603.13,2645.75,2793.13,4095.38,4180.13,324136,328653.13,413759.63
59186.38,132480.88,137831.5,2911,18732.38,5983.38,1623.88,1764.75,2722.88,2940.25,4275.38,4307.13,322633.75,325544.75,384731.13
70055.88,136907,148397.38,4832.63,23995.25,6735.25,1809.75,1773.88,3111.5,2820.63,4253.38,4406.25,344467.38,349300,419355.88
48437.63,127170,134691.88,2888.75,21697.5,6047.38,1767.38,1857.13,3031.38,2980.63,3965.63,3878.63,316372.25,319261,367698.63
71932.63,135364.13,142422.63,4568.75,22762.38,6705.13,1881.75,1914.13,3242.25,3378.63,4241.38,4249,337016.63,341585.38,413518
65957.38,141071.88,154594.75,5334.75,27009.75,6903.38,1732.75,1727.38,3165.88,3148.5,4054.63,4081,357238,362572.75,428530.13
52511.5,122262.88,121340,2259.63,19339.88,5305.88,1517.38,1473.88,2637.5,2606.88,3649.88,3752.13,292364.5,294624.13,347135.63
49297.5,106110.5,106297.13,3817.25,21532.38,5299,1393.88,1460.38,2895.13,2869,3669,3598.75,262808,266625.25,315922.75
57470.25,142092.25,153523.63,2525.13,23780.25,6389,1845.38,1705.75,3232.75,3023.5,4361,4360,355161.63,357686.75,415157
76876.5,134154.25,141520.13,7064.25,20482.5,6267.5,1637.5,1716,2928,2932.5,3888.75,3893.5,328740.75,335805,412681.5
