CSF,Cortical GM,WM,Ventricles,Cerebellum,Brainstem,Caudate Right,Caudate Left,Lentiform Right,Lentiform Left,Thalamus Left,Thalamus Right,TTV,TBV,ICV
72842,144050,145412,5025,25051,6301,1852,1807,2900,3140,4479,4466,349771,354796,427638
81504,139566,135177,4429,21258,5296,1539,1584,3203,3287,3899,3967,327827,332256,413760
77401,144936,146900,4785,28683,6562,1761,1833,3011,3094,4684,4397,356245,361030,438431
64473,138431,136832,3042,22989,5703,1948,1963,3218,3211,4257,4204,332802,335844,400317
58986,133741,134171,4470,23782,5993,1967,2065,3137,3339,4222,4121,326623,331093,390079
72022,135594,140528,4782,22972,6113,1628,1683,2936,2879,4273,4374,332679,337461,409483
78813,148518,149423,4726,23542,5943,1710,1813,2700,2826,4382,4331,355608,360334,439147
62394,140973,144072,4280,24853,5854,1850,1873,3165,3457,4008,4082,344033,348313,410707
79944,139199,140293,6554,22336,5873,1611,1539,2871,3011,4034,4062,334018,340572,420516
93123,164488,164840,4715,26038,7069,2011,2087,3435,3548,5093,5139,395935,400650,493773
63242,134978,148023,3886,24066,6373,1880,2001,2975,3116,4337,4444,342791,346677,409919
81181,144790,150233,5860,24978,6534,1938,1876,3025,2931,4223,4414,356185,362045,443226
85753,149145,148130,7765,25415,6038,1802,1834,3218,3171,4157,4131,356612,364377,450130
70211,145946,152315,3324,25992,5956,1855,1912,3229,3329,4320,4253,359481,362805,433016
59427,110954,128524,4953,18136,5198,1501,1494,3070,3090,3454,3372,286649,291602,351029
64410,145840,149417,3600,24884,6255,1778,1940,2984,3114,4403,4324,355414,359014,423424
62033,132141,133667,4296,23211,5960,1776,1760,2672,2820,4455,4450,323353,327649,389682
79199,145270,130344,4713,20890,5896,1672,1720,3457,3456,4304,4406,331425,336138,415337
63938,142054,138885,3524,23149,5950,1570,1539,2932,2969,4307,4419,337001,340525,404463
87213,133190,144479,5940,22026,6073,1930,1911,2862,3128,4416,4302,334805,340745,427958
129998,135982,126296,8699,22449,5872,1565,1554,2977,2922,4387,4344,317880,326579,456577
60445,125888,127589,4356,21432,5433,1519,1576,2861,3072,3980,4097,306431,310787,371232
59378,129513,134710,3555,22831,5858,1861,1772,3088,3299,4264,4324,321708,325263,384641
84337,148026,143240,3751,25141,6263,1579,1651,3064,3312,4436,4464,350883,354634,438971
60275,146171,149740,3768,23888,6023,1513,1533,2872,3130,4533,4560,353375,357143,417418
89374,168994,165708,5436,21930,6301,1682,1755,3321,3376,4508,4431,391927,397363,486737
66931,156448,155816,4972,24462,6471,2099,2137,3538,3655,4520,4663,374531,379503,446434
75349,138521,149518,3696,23992,6199,2048,1963,2869,3148,4601,4375,347586,351282,426631
67149,146387,152149,3445,23925,6146,1959,1933,3245,3486,4695,4676,358962,362407,429556
77772,145737,145294,3699,23338,6338,1755,1758,3269,3186,4487,4658,349754,353453,431225
82408,148712,150039,5755,24962,6405,2076,2085,3225,3251,4385,4469,359797,365552,447960
66576,142423,154254,4748,24460,6210,2035,2026,3252,3433,4659,4598,357328,362076,428652
69680,149229,146483,4651,24106,6168,1665,1705,3026,3277,4264,4158,353680,358331,428011
91618,167092,161281,5253,27653,6658,1756,1774,2908,2973,4911,4908,392950,398203,489821
73590,162930,172221,3879,25855,7099,2099,2186,3329,3379,4977,5198,401890,405769,479359
67750,150011,149293,3436,24393,6861,1677,1746,3390,3295,4722,4675,360643,364079,431829
71469,136427,121873,6284,26796,5276,1605,1648,2461,2565,3817,3858,314455,320739,392208
60640,123735,115565,3943,18531,4814,1212,1227,2576,2807,3614,3539,286033,289976,350616
82704,133183,127921,6959,23256,5653,1715,1709,2836,2917,4059,4119,316445,323404,406108
75391,151914,138844,4945,23846,6045,1856,1793,2756,3170,4446,4519,349496,354441,429832
68750,126934,119805,3325,21458,5170,1292,1344,2465,2526,3730,3622,296731,300056,368806
89257,151549,141143,4453,29480,6524,1695,1613,3392,3433,4700,4599,357985,362438,451695
86927,155380,164621,7397,25598,6725,2172,1985,2794,3111,4865,4881,383047,390444,477371
57552,135747,129747,3635,26213,5975,1571,1605,2593,2759,4226,4042,323807,327442,384994
75204,155045,152338,3927,26783,6623,1890,2032,3631,3561,4551,4614,372215,376142,451346
90990,182383,186169,8030,27705,7474,2260,2310,3950,4057,4983,5216,439299,447329,538319
73369,151087,147500,3885,27392,6374,1903,1864,2832,3135,4604,4649,361644,365529,438898
94967,141381,141871,4932,23400,6015,1523,1513,2953,3025,4438,4378,339431,344363,439330
76365,158828,155576,4202,24944,6357,2001,2238,3084,3167,4467,4606,377087,381289,457654
77222,150459,148741,6317,24991,6348,1553,1551,3155,3136,4202,4369,358152,364469,441691
89295,138539,116292,5604,23025,5571,1287,1316,2904,2824,3839,3830,308025,313629,402924
81610,129777,125483,6835,24346,6342,1795,1770,3040,3182,3851,3827,313281,320116,401726
87960,135647,122762,5627,22081,5591,1388,1423,2792,2761,3955,4123,311539,317166,405126
77140,158216,154427,5260,23185,6441,1999,2031,3692,3899,4487,4632,373368,378628,455768
89418,171072,169489,6405,28389,6708,1891,1921,3574,3721,4642,4608,407122,413527,502945
68813,147388,152692,4487,24572,6385,2003,1975,3334,3385,4775,4655,361744,366231,435044
51130,115293,118775,3138,23953,5867,1626,1804,2846,2888,4025,4094,290269,293407,344537
73486,136114,139222,4079,23131,6371,1752,1759,3202,3241,4159,4203,333951,338030,411516
73881,134291,128063,5673,21767,5661,1399,1505,3256,3121,4056,4341,316319,321992,395873
86889,149478,133587,5471,29188,6440,1636,1651,2896,3028,4540,4502,346919,352390,439279
74489,128416,132956,3531,22823,5976,1331,1391,3176,3116,4179,4290,316171,319702,394191
73338,136393,140926,6511,25315,6134,1616,1674,2959,2946,4653,4496,336906,343417,416755
72134,136338,129794,3876,22535,5932,1468,1506,2603,2604,4125,4044,320158,324034,396168
77000,144903,142144,3877,23608,6135,1649,1680,3029,3095,4253,4280,344547,348424,425424
64576,138489,140804,3738,23151,5836,1718,1747,2836,2746,4206,4363,334800,338538,403114
94757,152659,142480,6125,27838,6327,1796,1869,3137,3105,4219,4429,358842,364967,459724
81975,133691,130450,6413,21811,5676,1563,1564,2796,2785,3946,4057,316575,322988,404963
93438,158358,147873,4640,25596,6700,1817,1792,3337,3424,4533,4644,369247,373887,467325
81242,153838,148903,6800,25623,6190,1664,1799,3129,3126,3894,4150,361757,368557,449799
75519,147090,143533,3723,22358,6126,1762,1806,3441,3428,4332,4326,348374,352097,427616
76277,146183,131668,5373,24493,6286,1692,1599,3090,3199,4314,4208,336256,341629,417906
85589,149986,146936,4337,24912,6279,1892,1920,2836,2991,4340,4348,356314,360651,446240
56799,133780,129956,2649,20280,5459,1534,1505,2923,2972,4264,4417,316352,319001,375800
62992,139776,126325,3300,23471,5681,1665,1587,2991,3292,3777,3790,321439,324739,387731
65530,138771,121578,3444,24638,6045,1648,1728,3171,3268,4633,4714,320722,324166,389696
98942,168997,156994,6087,26718,6759,1820,1915,3511,3449,4920,4877,390975,397062,496004
103598,137467,132101,8535,24301,6429,1576,1714,3143,3095,3872,3998,326999,335534,439132
93383,148344,146645,5875,27765,6321,1674,1617,2938,3033,4756,4767,358098,363973,457356
67105,127532,114992,4884,23414,5358,1518,1535,2612,2727,3816,3850,295869,300753,367858
83849,160383,149483,5144,27458,6607,1648,1694,3082,3094,4532,4406,372649,377793,461642
67822,158726,159592,3498,26349,6719,2086,2193,3586,3341,4654,4808,383361,386859,454681
64103,144443,128965,4191,28161,6035,1812,1743,2861,3200,4578,4419,336616,340807,404910
84932,155204,135014,4673,26733,6430,1777,1825,2864,2963,4647,4735,352278,356951,441883
